idCarpeta,Delito,Categoria,Sexo,Edad,TipoPersona,CalidadJuridica,competencia,Año_hecho,Mes_hecho,AlcaldiaHechos,ColoniaHechos,Calle_hechos,Calle_hechos2,latitud,longitud,Hora_Hechos_24,Tipo_de_delito,Años_sentencia ,Escala_clasificacion,Casos
8380337,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,,,MORAL,VICTIMA,FUERO COMUN,2019,Febrero,Miguel Hidalgo,SAN JUANICO,LAGO CHIEM,LAGO WAM,19.45108,-99.19053,9,ROBO A NEGOCIO CON VIOLENCIA,3,1,1
8614499,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,,,MORAL,OFENDIDO,FUERO COMUN,2020,Enero,Venustiano Carranza,JANITZIO,TALABARTEROS,IMPRENTA,19.449379188774106,-99.1179069102171,11,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8572750,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,,,MORAL,AGRAVIADO,FUERO COMUN,2019,Octubre,Venustiano Carranza,UNIDAD KENNEDY,AVENIDA FRANCISCO DEL PASO Y TRONCOSO,,19.41676,-99.11212,12,ROBO DE OBJETOS,3,1,1
8565819,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,18.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Noviembre,Xochimilco,BARRIO SANTA CRUCITA,FRANCISCO I. MADERO,AV. 5 DE MAYO,19.26138,-99.10256,19,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8364576,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,0.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Febrero,Coyoacán,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSURGENTES SUR,,19.32496,-99.18867,8,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8664227,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,,,MORAL,OFENDIDO,FUERO COMUN,2020,Marzo,Iztapalapa,LOS ÁNGELES,NUBE,,19.344358828329998,-99.06782477472107,21,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8606927,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Masculino,28.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Enero,Tlalpan,RESIDENCIAL VILLA COAPA SUPER MANZANA 1,AVENIDA PERIFERICO SUR,,19.289352319162603,-99.11632220164292,9,ROBO DE OBJETOS,3,1,1
8781444,LESIONES INTENCIONALES POR GOLPES,DELITO DE BAJO IMPACTO,Masculino,58.0,FISICA,LESIONADO,FUERO COMUN,2020,Octubre,Iztapalapa,SAN JUANICO NEXTIPAC,ECONOMISTAS,,19.3746103989386,-99.121001800115,14,LESIONES INTENCIONALES POR GOLPES,2,1,1
8383485,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,Femenino,16.0,FISICA,VICTIMA,FUERO COMUN,2019,Marzo,Álvaro Obregón,,SIN CALLES DE SAP,,,,13,ABUSO SEXUAL,3,1,1
8676533,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,Femenino,1.0,FISICA,VICTIMA,FUERO COMUN,2020,Marzo,Benito Juárez,IZTACCIHUATL,PEDRO DE ALBA,,19.389109802666198,-99.1368538909489,12,ABUSO SEXUAL,3,1,1
